Pathways,,,,,,,
Pathways,Activation/Inactivation/Interconversion,,,,,,
Pathways,Activation/Inactivation/Interconversion,Activation,,,,,
Pathways,Activation/Inactivation/Interconversion,Activation,Glucosinolate Activation,,,,
Pathways,Activation/Inactivation/Interconversion,Activation,Glucosinolate Activation,aromatic glucosinolate activation,,,
Pathways,Activation/Inactivation/Interconversion,Activation,Glucosinolate Activation,glucosinolate activation,,,
Pathways,Activation/Inactivation/Interconversion,Activation,Glucosinolate Activation,indole glucosinolate activation (herbivore attack),,,
Pathways,Activation/Inactivation/Interconversion,Activation,Glucosinolate Activation,indole glucosinolate activation (intact plant cell),,,
Pathways,Activation/Inactivation/Interconversion,Activation,acyl carrier protein activation,,,,
Pathways,Activation/Inactivation/Interconversion,Activation,DIMBOA-glucoside activation,,,,
Pathways,Activation/Inactivation/Interconversion,Activation,ecdysteroid metabolism (arthropods),,,,
Pathways,Activation/Inactivation/Interconversion,Activation,ethionamide activation,,,,
Pathways,Activation/Inactivation/Interconversion,Activation,indole-3-acetate activation I,,,,
Pathways,Activation/Inactivation/Interconversion,Activation,indole-3-acetate activation II,,,,
Pathways,Activation/Inactivation/Interconversion,Activation,isoniazid activation,,,,
Pathways,Activation/Inactivation/Interconversion,Activation,long-chain fatty acid activation,,,,
Pathways,Activation/Inactivation/Interconversion,Activation,sulfate activation for sulfonation,,,,
Pathways,Activation/Inactivation/Interconversion,Inactivation,,,,,
Pathways,Activation/Inactivation/Interconversion,Inactivation,Gibberellin Inactivation,,,,
Pathways,Activation/Inactivation/Interconversion,Inactivation,Gibberellin Inactivation,gibberellin inactivation I (2beta-hydroxylation),,,
Pathways,Activation/Inactivation/Interconversion,Inactivation,Gibberellin Inactivation,gibberellin inactivation II (methylation),,,
Pathways,Activation/Inactivation/Interconversion,Inactivation,Gibberellin Inactivation,gibberellin inactivation III (epoxidation),,,
Pathways,Activation/Inactivation/Interconversion,Inactivation,Indole-3-acetate Inactivation,,,,
Pathways,Activation/Inactivation/Interconversion,Inactivation,Indole-3-acetate Inactivation,indole-3-acetate inactivation I,,,
Pathways,Activation/Inactivation/Interconversion,Inactivation,Indole-3-acetate Inactivation,indole-3-acetate inactivation II,,,
Pathways,Activation/Inactivation/Interconversion,Inactivation,Indole-3-acetate Inactivation,indole-3-acetate inactivation III,,,
Pathways,Activation/Inactivation/Interconversion,Inactivation,Indole-3-acetate Inactivation,indole-3-acetate inactivation IV,,,
Pathways,Activation/Inactivation/Interconversion,Inactivation,Indole-3-acetate Inactivation,indole-3-acetate inactivation IX,,,
Pathways,Activation/Inactivation/Interconversion,Inactivation,Indole-3-acetate Inactivation,indole-3-acetate inactivation V,,,
Pathways,Activation/Inactivation/Interconversion,Inactivation,Indole-3-acetate Inactivation,indole-3-acetate inactivation VI,,,
Pathways,Activation/Inactivation/Interconversion,Inactivation,Indole-3-acetate Inactivation,indole-3-acetate inactivation VII,,,
Pathways,Activation/Inactivation/Interconversion,Inactivation,Indole-3-acetate Inactivation,indole-3-acetate inactivation VIII,,,
